code,name,state,max_stock_kg,cas_raw,pl_I,pl_II,pl_III,pl_IV,appendices,matches,conc,pl_II_chot,pl_III_chot,can_cu_II,can_cu_III,appendices_chot
CH-06-630,UV PROTECTIVE NC SEALER - T65FN0054-180.00K/ 180KG,LỎNG,2520,123-86-4 (>10-<25%); 9004-70-0; 67-63-0; 1330-20-7; 100-41-4; 763-69-9; 557-05-1; 108-65-6; 1843-05-6,True,True,True,True,"I,II,III,IV","I:Isopropanol(67-63-0) | I:Xylen(1330-20-7) | II:Isopropanol(67-63-0) | II:n-Butyl axetat(123-86-4) | III/Nhóm 1:Etyl benzen(100-41-4) | IV/Bảng A:Nitơ xenlulo (hàm lượng > 12,6% nitrogen)(9004-70-0) thr=10.000",123-86-4=>10-<25%,True,True,giu theo nguong,giu theo nguong,"I,II,III,IV"
CH-06-633,UV PROTECTIVE NC TOPCOAT (05) - T75FN0540-180.00K/180KG,LỎNG,1620,123-86-4 (>10-<25%); 9004-70-0; 67-63-0; 763-69-9; 108-65-6; 1843-05-6; 100-41-4,True,True,True,True,"I,II,III,IV","I:Isopropanol(67-63-0) | II:Isopropanol(67-63-0) | II:n-Butyl axetat(123-86-4) | III/Nhóm 1:Etyl benzen(100-41-4) | IV/Bảng A:Nitơ xenlulo (hàm lượng > 12,6% nitrogen)(9004-70-0) thr=10.000",123-86-4=>10-<25%,True,False,giu theo nguong,loai theo nguong: tat ca thanh phan <= 1%: 100-41-4=≤0.3,"I,II,IV"
CH-06-635,UV PROTECTIVE NC TOPCOAT (20) - T75FN0542-180.00K /180KG,LỎNG,360,123-86-4 (>10-<25%); 9004-70-0; 67-63-0 (<10%); 763-69-9; 108-65-6; 1843-05-6; 100-41-4,True,True,True,True,"I,II,III,IV","I:Isopropanol(67-63-0) | II:Isopropanol(67-63-0) | II:n-Butyl axetat(123-86-4) | III/Nhóm 1:Etyl benzen(100-41-4) | IV/Bảng A:Nitơ xenlulo (hàm lượng > 12,6% nitrogen)(9004-70-0) thr=10.000",123-86-4=>10-<25%;67-63-0=<10%,True,False,giu theo nguong,loai theo nguong: tat ca thanh phan <= 1%: 100-41-4=≤0.3,"I,II,IV"
CH-06-636,UV PROTECTIVE NC TOPCOAT (30) - T75FN0543-180.00K/180KG,LỎNG,180,123-86-4 (>10-<25%); 9004-70-0; 67-63-0; 763-69-9; 108-65-6; 1843-05-6; 107-98-2; 100-41-4,True,True,True,True,"I,II,III,IV","I:Isopropanol(67-63-0) | II:1-Metoxy-2-propanol(107-98-2) | II:Isopropanol(67-63-0) | II:n-Butyl axetat(123-86-4) | III/Nhóm 1:Etyl benzen(100-41-4) | IV/Bảng A:Nitơ xenlulo (hàm lượng > 12,6% nitrogen)(9004-70-0) thr=10.000",123-86-4=>10-<25%,True,False,giu theo nguong,loai theo nguong: tat ca thanh phan <= 1%: 100-41-4=≤0.3,"I,II,IV"
CH-06-642,NC SEALER - WHITE - P61WN0054-200.00K/200KG,LỎNG,1800,9004-70-0; 1330-20-7; 100-41-4; 67-63-0; 78-83-1; 123-86-4; 557-05-1; 1843-05-6,True,True,True,True,"I,II,III,IV","I:Isopropanol(67-63-0) | I:Xylen(1330-20-7) | II:Isobutanol(78-83-1) | II:Isopropanol(67-63-0) | II:n-Butyl axetat(123-86-4) | III/Nhóm 1:Etyl benzen(100-41-4) | IV/Bảng A:Nitơ xenlulo (hàm lượng > 12,6% nitrogen)(9004-70-0) thr=10.000",,False,True,loai theo nguong: tat ca thanh phan <= 5%: 67-63-0=≤5; 78-83-1=≤5; 123-86-4=≤5,giu theo nguong,"I,III,IV"
CH-06-643,VINYL SEALER - WHITE - P63WN1001-20.00K /200KG,LỎNG,1800,123-86-4 (>25%-<50%); 100-41-4; 1330-20-7; 64-17-5; 9004-70-0; 67-63-0; 8013-07-8; 148462-57-1; 1843-05-6; 67-56-1; 55406-53-6,True,True,True,True,"I,II,III,IV","I:Etanol(64-17-5) | I:Isopropanol(67-63-0) | I:Metanol(67-56-1) | I:Xylen(1330-20-7) | II:Isopropanol(67-63-0) | II:n-Butyl axetat(123-86-4) | III/Nhóm 1:Etyl benzen(100-41-4) | III/Nhóm 1:Metanol(67-56-1) | IV/Bảng A:Metanol(67-56-1) thr=500.000 | IV/Bảng A:Nitơ xenlulo (hàm lượng > 12,6% nitrogen)(9004-70-0) thr=10.000",123-86-4=>25%-<50%,True,True,giu theo nguong,giu theo nguong,"I,II,III,IV"
CH-06-645,UV PROTECTIVE NC TOPCOAT (60) - T75FN0546-180.00K/180KG,LỎNG,180,9004-70-0; 123-86-4 (<10%); 67-63-0 (<10%); 763-69-9; 108-65-6; 1843-05-6; 100-41-4,True,True,True,True,"I,II,III,IV","I:Isopropanol(67-63-0) | II:Isopropanol(67-63-0) | II:n-Butyl axetat(123-86-4) | III/Nhóm 1:Etyl benzen(100-41-4) | IV/Bảng A:Nitơ xenlulo (hàm lượng > 12,6% nitrogen)(9004-70-0) thr=10.000",123-86-4=<10%;67-63-0=<10%,True,False,giu theo nguong,loai theo nguong: tat ca thanh phan <= 1%: 100-41-4=≤0.3,"I,II,IV"
CH-06-651,VINYL TOPCOAT 05 - T79FN1070-180.00K /180KG,LỎNG,1080,123-86-4 (>25%-<50%); 1330-20-7; 71-36-3; 9004-70-0; 110-43-0; 100-41-4; 67-63-0; 55406-53-6; 1843-05-6,True,True,True,True,"I,II,III,IV","I:Isopropanol(67-63-0) | I:Xylen(1330-20-7) | I:n-Butanol(71-36-3) | II:2-Heptanon(110-43-0) | II:Isopropanol(67-63-0) | II:n-Butanol(71-36-3) | II:n-Butyl axetat(123-86-4) | III/Nhóm 1:Etyl benzen(100-41-4) | IV/Bảng A:Nitơ xenlulo (hàm lượng > 12,6% nitrogen)(9004-70-0) thr=10.000",123-86-4=>25%-<50%,True,True,giu theo nguong,giu theo nguong,"I,II,III,IV"
CH-06-790,T79FN1072-180.00K - VINYL TOPCOAT (20),LỎNG,0,123-86-4 (>25%-<50%); 100-41-4; 1330-20-7; 71-63-3; 9004-70-0; 110-43-0; 67-63-0; 55406-53-6; 1843-05-6,True,True,True,True,"I,II,III,IV","I:Isopropanol(67-63-0) | I:Xylen(1330-20-7) | II:2-Heptanon(110-43-0) | II:Isopropanol(67-63-0) | II:n-Butyl axetat(123-86-4) | III/Nhóm 1:Etyl benzen(100-41-4) | IV/Bảng A:Nitơ xenlulo (hàm lượng > 12,6% nitrogen)(9004-70-0) thr=10.000",123-86-4=>25%-<50%,True,True,giu theo nguong,giu theo nguong,"I,II,III,IV"
CH-06-800,T79FN1071-180.00K - VINYL TOPCOAT 10 / 180,LỎNG,180,123-86-4 (>25%-<50%); 100-41-4; 1330-20-7; 71-36-3; 9004-70-0; 110-43-0; 67-63-0; 55406-53-6; 1843-05-6,True,True,True,True,"I,II,III,IV","I:Isopropanol(67-63-0) | I:Xylen(1330-20-7) | I:n-Butanol(71-36-3) | II:2-Heptanon(110-43-0) | II:Isopropanol(67-63-0) | II:n-Butanol(71-36-3) | II:n-Butyl axetat(123-86-4) | III/Nhóm 1:Etyl benzen(100-41-4) | IV/Bảng A:Nitơ xenlulo (hàm lượng > 12,6% nitrogen)(9004-70-0) thr=10.000",123-86-4=>25%-<50%,True,True,giu theo nguong,giu theo nguong,"I,II,III,IV"
