stt,code,name,cas_raw,cas,max_stock_kg,state,msds_path,src_row,cas_raw_goc,explosive_cat,explosive_h,flammable_cat,flammable_h,oxidizing_cat,oxidizing_h,gas_pressure_cat,gas_pressure_h,corrosive_cat,corrosive_h,toxic_cat,toxic_h,health_cat,health_h,env_cat,env_h,other_cat,other_h
1,CH-06-630,UV PROTECTIVE NC SEALER - T65FN0054-180.00K/ 180KG,123-86-4 (>10-<25%); 9004-70-0; 67-63-0; 1330-20-7; 100-41-4; 763-69-9; 557-05-1; 108-65-6; 1843-05-6,123-86-4;9004-70-0;67-63-0;1330-20-7;100-41-4;763-69-9;557-05-1;108-65-6;1843-05-6,2520,LỎNG,MSDS 176 mã 2026\CH-06-630.pdf,4,,,,3,H226,,,,,2A,H319,,,1,H370,2,H401,,
2,CH-06-633,UV PROTECTIVE NC TOPCOAT (05) - T75FN0540-180.00K/180KG,123-86-4 (>10-<25%); 9004-70-0; 67-63-0; 763-69-9; 108-65-6; 1843-05-6; 100-41-4,123-86-4;9004-70-0;67-63-0;763-69-9;108-65-6;1843-05-6;100-41-4,1620,LỎNG,MSDS 176 mã 2026\CH-06-633.pdf,5,,,,3,H226,,,,,2A,H319,,,1,H370,2,H411,,
3,CH-06-635,UV PROTECTIVE NC TOPCOAT (20) - T75FN0542-180.00K /180KG,123-86-4 (>10-<25%); 9004-70-0; 67-63-0 (<10%); 763-69-9; 108-65-6; 1843-05-6; 100-41-4,123-86-4;9004-70-0;67-63-0;763-69-9;108-65-6;1843-05-6;100-41-4,360,LỎNG,MSDS 176 mã 2026\CH-06-635.pdf,6,,,,3,H226,,,,,2A,H319,,,1,H370,,,,
4,CH-06-636,UV PROTECTIVE NC TOPCOAT (30) - T75FN0543-180.00K/180KG,123-86-4 (>10-<25%); 9004-70-0; 67-63-0; 763-69-9; 108-65-6; 1843-05-6; 107-98-2; 100-41-4,123-86-4;9004-70-0;67-63-0;763-69-9;108-65-6;1843-05-6;107-98-2;100-41-4,180,LỎNG,MSDS 176 mã 2026\CH-06-636.pdf,7,,,,3,H226,,,,,2A,H319,,,1,H370,,,,
5,CH-06-642,NC SEALER - WHITE - P61WN0054-200.00K/200KG,9004-70-0; 1330-20-7; 100-41-4; 67-63-0; 78-83-1; 123-86-4; 557-05-1; 1843-05-6,9004-70-0;1330-20-7;100-41-4;67-63-0;78-83-1;123-86-4;557-05-1;1843-05-6,1800,LỎNG,MSDS 176 mã 2026\CH-06-642.pdf,8,,,,3,H226,,,,,2A,H319,,,1,H370,2,H401,,
6,CH-06-643,VINYL SEALER - WHITE - P63WN1001-20.00K /200KG,123-86-4 (>25%-<50%); 100-41-4; 1330-20-7; 64-17-5; 9004-70-0; 67-63-0; 8013-07-8; 148462-57-1; 1843-05-6; 67-56-1; 55406-53-6,123-86-4;100-41-4;1330-20-7;64-17-5;9004-70-0;67-63-0;8013-07-8;148462-57-1;1843-05-6;67-56-1;55406-53-6,1800,LỎNG,MSDS 176 mã 2026\CH-06-643.pdf,9,,,,2,H225,,,,,2A,H319,,,1,H370,2,H401,,
7,CH-06-645,UV PROTECTIVE NC TOPCOAT (60) - T75FN0546-180.00K/180KG,9004-70-0; 123-86-4 (<10%); 67-63-0 (<10%); 763-69-9; 108-65-6; 1843-05-6; 100-41-4,9004-70-0;123-86-4;67-63-0;763-69-9;108-65-6;1843-05-6;100-41-4,180,LỎNG,MSDS 176 mã 2026\CH-06-645.pdf,10,,,,3,H226,,,,,2A,H319,,,1,H370,2,H401,,
8,CH-06-651,VINYL TOPCOAT 05 - T79FN1070-180.00K /180KG,123-86-4 (>25%-<50%); 1330-20-7; 71-36-3; 9004-70-0; 110-43-0; 100-41-4; 67-63-0; 55406-53-6; 1843-05-6,123-86-4;1330-20-7;71-36-3;9004-70-0;110-43-0;100-41-4;67-63-0;55406-53-6;1843-05-6,1080,LỎNG,MSDS 176 mã 2026\CH-06-651.pdf,11,,,,3,H226,,,,,1,H318,,,1,H370,2,H401,,
9,CH-06-790,T79FN1072-180.00K - VINYL TOPCOAT (20),123-86-4 (>25%-<50%); 100-41-4; 1330-20-7; 71-63-3; 9004-70-0; 110-43-0; 67-63-0; 55406-53-6; 1843-05-6,123-86-4;100-41-4;1330-20-7;71-63-3;9004-70-0;110-43-0;67-63-0;55406-53-6;1843-05-6,0,LỎNG,MSDS 176 mã 2026\CH-06-790.pdf,12,,,,3,H226,,,,,1,H318,,,1,H304,2,H401,,
10,CH-06-800,T79FN1071-180.00K - VINYL TOPCOAT 10 / 180,123-86-4 (>25%-<50%); 100-41-4; 1330-20-7; 71-36-3; 9004-70-0; 110-43-0; 67-63-0; 55406-53-6; 1843-05-6,123-86-4;100-41-4;1330-20-7;71-36-3;9004-70-0;110-43-0;67-63-0;55406-53-6;1843-05-6,180,LỎNG,MSDS 176 mã 2026\CH-06-800.pdf,13,,,,3,H226,,,,,2A,H319,,,1,H360,3,H402,,
