date,code,name,unit_raw,unit,qty,qty_kg,source,sheet,cell,pl_I,pl_II,pl_III,pl_IV,pl_II_chot,pl_III_chot,appendices,appendices_chot
2025-12-29,CH-01-005,Bleach H2O2 35/ thùng,Liter,L,0.0,0.0,sheet,W01,E4,True,True,False,False,True,False,"I,II","I,II"
2025-12-30,CH-01-005,Bleach H2O2 35/ thùng,Liter,L,0.0,0.0,sheet,W01,F4,True,True,False,False,True,False,"I,II","I,II"
2025-12-31,CH-01-005,Bleach H2O2 35/ thùng,Liter,L,0.0,0.0,sheet,W01,G4,True,True,False,False,True,False,"I,II","I,II"
2026-01-01,CH-01-005,Bleach H2O2 35/ thùng,Liter,L,0.0,0.0,sheet,W01,H4,True,True,False,False,True,False,"I,II","I,II"
2026-01-02,CH-01-005,Bleach H2O2 35/ thùng,Liter,L,0.0,0.0,sheet,W01,I4,True,True,False,False,True,False,"I,II","I,II"
2026-01-03,CH-01-005,Bleach H2O2 35/ thùng,Liter,L,0.0,0.0,sheet,W01,J4,True,True,False,False,True,False,"I,II","I,II"
2026-01-04,CH-01-005,Bleach H2O2 35/ thùng,Liter,L,0.0,0.0,sheet,W01,K4,True,True,False,False,True,False,"I,II","I,II"
2026-01-05,CH-01-005,Bleach H2O2 35/ thùng,Liter,L,0.0,0.0,sheet,W01,L4,True,True,False,False,True,False,"I,II","I,II"
2026-01-06,CH-01-005,Bleach H2O2 35/ thùng,Liter,L,0.0,0.0,sheet,W01,M4,True,True,False,False,True,False,"I,II","I,II"
2026-01-07,CH-01-005,Bleach H2O2 35/ thùng,Liter,L,0.0,0.0,sheet,W01,N4,True,True,False,False,True,False,"I,II","I,II"
2026-01-08,CH-01-005,Bleach H2O2 35/ thùng,Liter,L,0.0,0.0,sheet,W01,O4,True,True,False,False,True,False,"I,II","I,II"
2026-01-09,CH-01-005,Bleach H2O2 35/ thùng,Liter,L,0.0,0.0,sheet,W01,P4,True,True,False,False,True,False,"I,II","I,II"
2026-01-10,CH-01-005,Bleach H2O2 35/ thùng,Liter,L,0.0,0.0,sheet,W01,Q4,True,True,False,False,True,False,"I,II","I,II"
