code,cas,phu_luc,ham_luong,pct_min,pct_max,nguon,do_tin_cay
CH-06-630,123-86-4,II,(>10-<25%),10.0,25.0,excel,cao
CH-06-630,67-63-0,II,≤10,0.0,10.0,msds_pdf,cao
CH-06-630,100-41-4,III/Nhóm 1,≤5,0.0,5.0,msds_pdf,cao
CH-06-633,123-86-4,II,(>10-<25%),10.0,25.0,excel,cao
CH-06-633,67-63-0,II,≤10,0.0,10.0,msds_pdf,cao
CH-06-633,100-41-4,III/Nhóm 1,≤0.3,0.0,0.3,msds_pdf,cao
CH-06-635,123-86-4,II,(>10-<25%),10.0,25.0,excel,cao
CH-06-635,67-63-0,II,(<10%),0.0,10.0,excel,cao
CH-06-635,100-41-4,III/Nhóm 1,≤0.3,0.0,0.3,msds_pdf,cao
CH-06-636,123-86-4,II,(>10-<25%),10.0,25.0,excel,cao
CH-06-636,67-63-0,II,≤10,0.0,10.0,msds_pdf,cao
CH-06-636,107-98-2,II,≤0.3,0.0,0.3,msds_pdf,cao
CH-06-636,100-41-4,III/Nhóm 1,≤0.3,0.0,0.3,msds_pdf,cao
CH-06-642,100-41-4,III/Nhóm 1,≤10,0.0,10.0,msds_pdf,cao
CH-06-642,67-63-0,II,≤5,0.0,5.0,msds_pdf,cao
CH-06-642,78-83-1,II,≤5,0.0,5.0,msds_pdf,cao
CH-06-642,123-86-4,II,≤5,0.0,5.0,msds_pdf,cao
CH-06-643,123-86-4,II,(>25%-<50%),25.0,50.0,excel,cao
CH-06-643,100-41-4,III/Nhóm 1,≥10-≤16,10.0,16.0,msds_pdf,cao
CH-06-643,67-63-0,II,≤5,0.0,5.0,msds_pdf,cao
CH-06-643,67-56-1,III/Nhóm 1,<1,0.0,1.0,msds_pdf,cao
CH-06-645,123-86-4,II,(<10%),0.0,10.0,excel,cao
CH-06-645,67-63-0,II,(<10%),0.0,10.0,excel,cao
CH-06-645,100-41-4,III/Nhóm 1,≤0.3,0.0,0.3,msds_pdf,cao
CH-06-651,123-86-4,II,(>25%-<50%),25.0,50.0,excel,cao
CH-06-651,71-36-3,II,≤9.7,0.0,9.7,msds_pdf,cao
CH-06-651,110-43-0,II,≤5.6,0.0,5.6,msds_pdf,cao
CH-06-651,100-41-4,III/Nhóm 1,≤4,0.0,4.0,msds_pdf,cao
