code,name,cas_IV,nguong_kg,ton_dinh_kg,co_theo_doi_hang_ngay,max_khai_bao_kg,ton_de_so_nguong,vuot_nguong
RS-01-002,Butanox,1338-23-4,5000.0,0.0,False,50,50.0,False
FS-05-063,LPG,"74-84-0,74-98-6,106-97-8,109-66-0,75-08-1",5000.0,0.0,False,225,225.0,False
CH-06-635,UV PROTECTIVE NC TOPCOAT (20) - T75FN0542-180.00K /180KG,9004-70-0,10000.0,180.0,True,360,180.0,False
CH-06-630,UV PROTECTIVE NC SEALER - T65FN0054-180.00K/ 180KG,9004-70-0,10000.0,2520.0,True,2520,2520.0,False
CH-06-642,NC SEALER - WHITE - P61WN0054-200.00K/200KG,9004-70-0,10000.0,1800.0,True,1800,1800.0,False
CH-06-643,VINYL SEALER - WHITE - P63WN1001-20.00K /200KG,"9004-70-0,67-56-1",10000.0,1200.0,True,1800,1200.0,False
CH-06-645,UV PROTECTIVE NC TOPCOAT (60) - T75FN0546-180.00K/180KG,9004-70-0,10000.0,180.0,True,180,180.0,False
CH-06-633,UV PROTECTIVE NC TOPCOAT (05) - T75FN0540-180.00K/180KG,9004-70-0,10000.0,1620.0,True,1620,1620.0,False
CH-06-790,T79FN1072-180.00K - VINYL TOPCOAT (20),9004-70-0,10000.0,0.0,True,0,0.0,False
CH-06-800,T79FN1071-180.00K - VINYL TOPCOAT 10 / 180,9004-70-0,10000.0,180.0,True,180,180.0,False
CH-06-822,PU TOPCOAT (40) - F63FN1384-18.00K,9004-70-0,10000.0,180.0,True,180,180.0,False
CH-06-823,PU TOPCOAT (60) - F63FN1386-18.00K,9004-70-0,10000.0,306.0,True,468,306.0,False
CH-06-824,CRACKLE BASE - CLEAR - T65TN0001-18.00K,"9004-70-0,67-56-1",10000.0,198.0,True,198,198.0,False
CH-06-1056,M64WN0052-20.00K NC TOPCOAT (20) - WHITE,9004-70-0,10000.0,200.0,True,200,200.0,False
CH-06-1048,T65FN0036-180.00K UV PROTECTIVE NC SEALER,9004-70-0,10000.0,1620.0,True,1620,1620.0,False
CH-06-636,UV PROTECTIVE NC TOPCOAT (30) - T75FN0543-180.00K/180KG,9004-70-0,10000.0,180.0,True,180,180.0,False
CH-06-1049,T75FN0430-180.00K UV PROTECTIVE NC TOPCOAT (05),9004-70-0,10000.0,1440.0,True,1440,1440.0,False
CH-06-1050,T75FN0432-180.00K UV PROTECTIVE NC TOPCOAT (20),9004-70-0,10000.0,720.0,True,720,720.0,False
CH-06-1033,V66VN2505-4.50K PU HARDENER,26471-62-5,10000.0,972.0,True,972,972.0,False
CH-06-1059,P61WN0046-220.00K NC WHITE PRIMER,9004-70-0,10000.0,2640.0,True,2640,2640.0,False
AD-01-001,Glue dog 0.6l,9004-70-0,10000.0,0.0,False,528,528.0,False
CH-06-651,VINYL TOPCOAT 05 - T79FN1070-180.00K /180KG,9004-70-0,10000.0,540.0,True,1080,540.0,False
CH-01-061,Chất tẩy gỗ Sodium Chlorite 80% (50kg),7775-09-9,50000.0,0.0,True,25,0.0,False
CH-06-769,XZ511-3002-8.00K - MICRO TONER D BLUE/ 8 KGM,67-56-1,500000.0,56.0,True,64,56.0,False
CH-06-783,XZ511-1005-8.00K - MICRO TONER D ORANGE/ 8 KGM,67-56-1,500000.0,136.0,True,136,136.0,False
CH-06-771,216:098-160.00K - THINNER/ 160 KGM,67-56-1,500000.0,480.0,True,480,480.0,False
CH-06-770,V70CN0004-15.00K - ADDITIVE SOLUTION/ 15 KGM,67-56-1,500000.0,0.0,True,0,0.0,False
CH-06-784,XZ511-1008-8.00K - MICRO TONER D YELLOW/ 8 KGM,67-56-1,500000.0,184.0,True,200,184.0,False
CH-06-934,P62WN0024-180.00K L/Y FLEXILE WHITE PRIMER - 180 KGM,67-56-1,500000.0,2340.0,True,2340,2340.0,False
CH-06-786,XZ511-6004-8.00K - MICRO TONER D BROWN/ 8 KGM,67-56-1,500000.0,32.0,True,32,32.0,False
CH-06-785,XZ511-4002-8.00K - MICRO TONER D GREEN/ 8 KGM,67-56-1,500000.0,40.0,True,56,40.0,False
CH-06-768,XZ511-2003-8.00K - MICRO TONER D RED/ 8 KGM,67-56-1,500000.0,32.0,True,32,32.0,False
CH-06-1058,110C1300MU-167.00K NGR STAIN BASE/REDUCER,67-56-1,500000.0,835.0,True,835,835.0,False
