code,phu_luc,nguong_pct,trang_thai,bang_chung
CH-06-630,Phu luc II,5.0,giu_lai,123-86-4=(>10-<25%); 67-63-0=≤10
CH-06-633,Phu luc II,5.0,giu_lai,123-86-4=(>10-<25%); 67-63-0=≤10
CH-06-635,Phu luc II,5.0,giu_lai,123-86-4=(>10-<25%); 67-63-0=(<10%)
CH-06-636,Phu luc II,5.0,giu_lai,123-86-4=(>10-<25%); 67-63-0=≤10
CH-06-642,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 67-63-0=≤5; 78-83-1=≤5; 123-86-4=≤5
CH-06-643,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%)
CH-06-645,Phu luc II,5.0,giu_lai,123-86-4=(<10%); 67-63-0=(<10%)
CH-06-651,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%); 71-36-3=≤9.7; 110-43-0=≤5.6
CH-06-790,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%); 110-43-0=≤6.1
CH-06-800,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%); 71-36-3=≤10; 110-43-0=≤10
CH-06-822,Phu luc II,5.0,giu_lai,123-86-4=(>10-<25%)
CH-06-823,Phu luc II,5.0,giu_lai,123-86-4=(>10-<25%)
CH-06-824,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 123-86-4=<1; 108-38-3=≤0.3
CH-06-1056,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 71-36-3=≤5; 123-86-4=≤5
CH-06-1048,Phu luc II,5.0,giu_lai,123-86-4=(>10%-<25%)
CH-06-1049,Phu luc II,5.0,giu_lai,123-86-4=(<10%)
CH-06-1050,Phu luc II,5.0,giu_lai,123-86-4=(<10%)
CH-06-1059,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 123-86-4=≤1
CH-01-005,Phu luc II,5.0,giu_lai,7722-84-1=30-50
CH-02-157,Phu luc II,5.0,giu_lai,108-10-1=≤10
CH-06-134,Phu luc II,5.0,giu_lai,"71-36-3=2,5-10; 123-86-4=(50%-70%)"
CH-06-181,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%)
CH-06-190,Phu luc II,5.0,loai_duoc,"tat ca thanh phan <= 5%: 98-82-8=0,1-1; 108-67-8=0,1-1"
CH-06-205,Phu luc II,5.0,giu_lai,7429-90-5=50-75
CH-06-227,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 106-42-3=≤0.3
CH-06-275,Phu luc II,5.0,giu_lai,"108-94-1=2,5-10; 123-86-4=(75%-100%)"
CH-06-311,Phu luc II,5.0,giu_lai,"108-10-1=>=2,5-<10; 108-94-1=>=2,5-<10; 123-86-4=(>50%-<75%)"
CH-06-355,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%)
CH-06-361,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 123-86-4=≤5
CH-06-364,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%)
CH-06-366,Phu luc II,5.0,giu_lai,123-86-4=(<10%)
CH-06-383,Phu luc II,5.0,giu_lai,7429-90-5=≥10-<19
CH-06-447,Phu luc II,5.0,giu_lai,123-86-4=(>10%-<25%)
CH-06-485,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%); 108-10-1=≤10; 108-94-1=<10
CH-06-553,Phu luc II,5.0,giu_lai,123-86-4=( >10%- <25%)
CH-06-567,Phu luc II,5.0,giu_lai,123-86-4=(>50%-<75%)
CH-06-631,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%); 67-63-0=≤10
CH-06-638,Phu luc II,5.0,giu_lai,123-86-4=(<10%); 67-63-0=(<7.1%)
CH-06-646,Phu luc II,5.0,giu_lai,67-63-0=(<10%); 123-86-4=(<10%)
CH-06-649,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%); 71-36-3=≤10; 110-43-0=≤10
CH-06-652,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%)
CH-06-653,Phu luc II,5.0,giu_lai,141-78-6=≤14
CH-06-654,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%)
CH-06-660,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%)
CH-06-668,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 91-20-3=≤1.4
CH-06-688,Phu luc II,5.0,giu_lai,123-86-4=(>50%-<75%)
CH-06-695,Phu luc II,5.0,giu_lai,7440-66-6=≥10-≤25
CH-06-736,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 108-94-1=≤1.3
CH-06-737,Phu luc II,5.0,giu_lai,110-43-0=≥25-≤36; 108-10-1=≤12
CH-06-740,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 108-67-8=≤2.5
CH-06-743,Phu luc II,5.0,giu_lai,123-86-4=(>10%-<25%)
CH-06-745,Phu luc II,5.0,giu_lai,123-86-4=(<10%)
CH-06-746,Phu luc II,5.0,giu_lai,123-86-4=(>10%-<25%); 108-10-1=≥10-≤24
CH-06-748,Phu luc II,5.0,giu_lai,123-86-4=(>10%-<25%)
CH-06-749,Phu luc II,5.0,giu_lai,123-86-4=(>10%-<25%)
CH-06-752,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%)
CH-06-754,Phu luc II,5.0,giu_lai,123-86-4=(>90%)
CH-06-757,Phu luc II,5.0,giu_lai,123-86-4=(>10%-<25%)
CH-06-758,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%)
CH-06-761,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%); 107-98-2=≤10; 78-83-1=≤10
CH-06-762,Phu luc II,5.0,giu_lai,67-63-0=(>90%)
CH-06-764,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 108-67-8=≤1.4
CH-06-767,Phu luc II,5.0,giu_lai,141-78-6=≥10-≤25; 97-85-8=≤10
CH-06-768,Phu luc II,5.0,giu_lai,107-98-2=≥50-≤75; 123-86-4=(>10%-<25%)
CH-06-769,Phu luc II,5.0,giu_lai,123-86-4=(>50%-<75%)
CH-06-771,Phu luc II,5.0,giu_lai,67-63-0=(<10%)
CH-06-783,Phu luc II,5.0,giu_lai,107-98-2=≥25-≤43
CH-06-785,Phu luc II,5.0,giu_lai,123-86-4=≥50-≤75
CH-06-786,Phu luc II,5.0,giu_lai,123-86-4=≥50-≤75
CH-06-796,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 108-67-8=<2.5
CH-06-797,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 108-67-8=<2.5
CH-06-798,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 108-67-8=<2.5
CH-06-809,Phu luc II,5.0,giu_lai,123-86-4=(>75%-<90%)
CH-06-812,Phu luc II,5.0,giu_lai,123-86-4=(>25-<50%)
CH-06-813,Phu luc II,5.0,giu_lai,141-78-6=≥10-≤25
CH-06-815,Phu luc II,5.0,giu_lai,108-10-1=≥10-≤25
CH-06-821,Phu luc II,5.0,giu_lai,123-86-4=(>25%-<50%)
CH-06-913,Phu luc II,5.0,giu_lai,123-86-4=(>10-<25%)
CH-06-914,Phu luc II,5.0,giu_lai,123-86-4=(>10-<25%)
CH-06-920,Phu luc II,5.0,giu_lai,123-86-4=(>10-<25%)
CH-06-922,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 108-67-8=<2.5
CH-06-923,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 108-67-8=≤2.5
CH-06-924,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 108-67-8=≤2.5
CH-06-925,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 108-67-8=<1
CH-06-929,Phu luc II,5.0,giu_lai,141-78-6=≥10-≤20
CH-06-930,Phu luc II,5.0,giu_lai,123-86-4=(<10%)
CH-06-931,Phu luc II,5.0,loai_duoc,tat ca thanh phan <= 5%: 108-67-8=<5
CH-06-932,Phu luc II,5.0,giu_lai,123-86-4=( >75%-<90%)
CH-06-933,Phu luc II,5.0,giu_lai,123-86-4=(<10%); 71-23-8=≤10
CH-06-934,Phu luc II,5.0,giu_lai,71-23-8=≤10
CH-06-935,Phu luc II,5.0,giu_lai,71-23-8=≥10-≤25; 123-86-4=(<10%)
CH-06-936,Phu luc II,5.0,giu_lai,123-86-4=(>25-<50%)
